epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.664,1.57451,2.68789,1.35757,0.4858,0.43805,0.38449,0.19936,1.72851,2.28485,1.48502,0.000551754,0.000551754,0.000551754
2,324.229,1.56106,1.81198,1.31979,0.61186,0.43425,0.47917,0.25488,1.81819,2.16667,1.52471,0.000997786,0.000997786,0.000997786
3,376.935,1.54578,1.48995,1.32326,0.79767,0.48752,0.59375,0.33603,1.75771,1.75702,1.5227,0.0013338,0.0013338,0.0013338
4,427.894,1.49934,1.28339,1.28756,0.81958,0.60665,0.71222,0.39191,1.75115,1.42408,1.49573,0.0011719,0.0011719,0.0011719
5,478.835,1.43721,1.15527,1.25437,0.84602,0.61694,0.73452,0.41875,1.68955,1.30944,1.44441,0.00100687,0.00100687,0.00100687
6,529.942,1.40602,1.04572,1.23223,0.87022,0.66007,0.77659,0.46652,1.56519,1.18573,1.38384,0.000841835,0.000841835,0.000841835
7,579.578,1.35879,0.94776,1.19861,0.81828,0.69474,0.79062,0.4772,1.57886,1.0999,1.34031,0.000676802,0.000676802,0.000676802
8,630.552,1.32817,0.88547,1.17549,0.90358,0.69217,0.8135,0.48422,1.56291,1.01967,1.34282,0.000511769,0.000511769,0.000511769
9,681.274,1.27274,0.80978,1.1488,0.89449,0.74799,0.84157,0.50258,1.50681,0.9547,1.30838,0.000346736,0.000346736,0.000346736
10,731.878,1.23073,0.73734,1.13294,0.86633,0.77539,0.8548,0.52938,1.43731,0.89894,1.27831,0.000181703,0.000181703,0.000181703
