epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.3067,2.00548,1.9459,1.66671,0.83845,0.59401,0.70727,0.3718,1.84099,1.39392,1.50546,0.000551754,0.000551754,0.000551754
2,119.181,1.69595,1.44998,1.40281,0.81967,0.62422,0.73259,0.36533,1.83247,1.41412,1.49443,0.00107088,0.00107088,0.00107088
3,175.643,1.58823,1.31212,1.3401,0.80896,0.62092,0.71707,0.39537,1.7284,1.38873,1.44243,0.00155332,0.00155332,0.00155332
4,231.508,1.57054,1.26915,1.33082,0.77346,0.6123,0.71214,0.37237,1.78423,1.40086,1.49158,0.00150197,0.00150197,0.00150197
5,287.285,1.55814,1.25054,1.32162,0.81399,0.68066,0.77354,0.43261,1.67418,1.19856,1.42051,0.00144696,0.00144696,0.00144696
6,344.003,1.53941,1.19715,1.31146,0.83497,0.68327,0.78293,0.44707,1.63717,1.15204,1.39911,0.00139195,0.00139195,0.00139195
7,400.6,1.51603,1.15548,1.2923,0.84166,0.64662,0.77642,0.4336,1.67783,1.16045,1.39105,0.00133693,0.00133693,0.00133693
8,456.653,1.46072,1.08188,1.25995,0.81786,0.70846,0.79828,0.45611,1.58168,1.09695,1.38191,0.00128192,0.00128192,0.00128192
9,515.222,1.47284,1.10777,1.27804,0.8687,0.69234,0.79604,0.44178,1.70985,1.07933,1.38182,0.00122691,0.00122691,0.00122691
10,571.781,1.45994,1.07894,1.26578,0.84104,0.72901,0.81426,0.44748,1.71682,1.01903,1.409,0.0011719,0.0011719,0.0011719
11,627.737,1.43294,1.03657,1.25097,0.85918,0.7108,0.81264,0.46527,1.61973,1.0422,1.35798,0.00111689,0.00111689,0.00111689
12,684.093,1.43556,1.03081,1.24875,0.87204,0.73283,0.83297,0.48449,1.58187,1.00336,1.35845,0.00106188,0.00106188,0.00106188
13,740.87,1.44412,1.01384,1.24944,0.83937,0.73678,0.82111,0.46025,1.6649,0.99148,1.38934,0.00100687,0.00100687,0.00100687
14,796.861,1.43712,1.01975,1.241,0.87945,0.74096,0.84346,0.48388,1.59787,0.93965,1.34646,0.000951857,0.000951857,0.000951857
15,853.31,1.41328,0.98909,1.24589,0.89198,0.68821,0.82013,0.45866,1.64368,1.0262,1.37187,0.000896846,0.000896846,0.000896846
16,909.367,1.38011,0.94293,1.22364,0.89362,0.69774,0.81333,0.49446,1.55486,0.9514,1.34099,0.000841835,0.000841835,0.000841835
17,966.326,1.38945,0.94553,1.22165,0.86493,0.75295,0.84444,0.48687,1.60168,0.9345,1.35236,0.000786824,0.000786824,0.000786824
18,1022.95,1.37451,0.93235,1.21897,0.88112,0.7278,0.84141,0.47182,1.65926,0.95319,1.3746,0.000731813,0.000731813,0.000731813
19,1080.14,1.35914,0.90513,1.21565,0.90033,0.72414,0.84552,0.49497,1.5828,0.91228,1.32997,0.000676802,0.000676802,0.000676802
20,1137.17,1.35658,0.90516,1.20672,0.89613,0.73673,0.84181,0.4907,1.59285,0.92678,1.33709,0.000621791,0.000621791,0.000621791
21,1191.66,1.23705,0.69732,1.15215,0.90262,0.74958,0.85376,0.51377,1.53216,0.87096,1.31546,0.00056678,0.00056678,0.00056678
22,1242.41,1.23091,0.67496,1.14391,0.9115,0.75762,0.85998,0.51535,1.53087,0.8852,1.31754,0.000511769,0.000511769,0.000511769
23,1293.69,1.22094,0.67066,1.14429,0.90081,0.75871,0.85723,0.51801,1.51506,0.86677,1.29797,0.000456758,0.000456758,0.000456758
24,1344.67,1.20183,0.63579,1.12883,0.89989,0.77015,0.8639,0.51875,1.51541,0.85489,1.29557,0.000401747,0.000401747,0.000401747
25,1395.13,1.19716,0.6298,1.12506,0.89777,0.76655,0.86392,0.52447,1.51721,0.8649,1.295,0.000346736,0.000346736,0.000346736
26,1446.05,1.17565,0.61493,1.11892,0.92054,0.76574,0.87148,0.52922,1.49361,0.8202,1.28351,0.000291725,0.000291725,0.000291725
27,1497.2,1.15693,0.5999,1.10689,0.91071,0.76224,0.86931,0.53533,1.4764,0.82133,1.28048,0.000236714,0.000236714,0.000236714
28,1548,1.16275,0.58485,1.1083,0.90676,0.78209,0.87019,0.53612,1.46999,0.81532,1.27809,0.000181703,0.000181703,0.000181703
29,1598.45,1.17415,0.59099,1.11269,0.89715,0.78322,0.8687,0.53044,1.47881,0.80869,1.28892,0.000126692,0.000126692,0.000126692
30,1649.26,1.15161,0.57689,1.10613,0.90054,0.77591,0.87086,0.53312,1.48195,0.80624,1.28487,7.1681e-05,7.1681e-05,7.1681e-05
